words_in_topic_0,freq_word_in_topic_0,words_in_topic_2,freq_word_in_topic_2,words_in_topic_13,freq_word_in_topic_13,words_in_topic_10,freq_word_in_topic_10,words_in_topic_5,freq_word_in_topic_5,words_in_topic_7,freq_word_in_topic_7,words_in_topic_1,freq_word_in_topic_1,words_in_topic_4,freq_word_in_topic_4,words_in_topic_6,freq_word_in_topic_6,words_in_topic_9,freq_word_in_topic_9
товар,0.039942384,дом,0.031895153,ремонт,0.025047908,банк,0.02289415,закон,0.033046972,маска,0.02639478,заказ,0.042009447,день,0.03375451,договор,0.047390964,это,0.022270989
магазин,0.03553693,квартира,0.017042302,телефон,0.018272458,услуга,0.022122653,право,0.032433964,тест,0.01702918,товар,0.030267019,рф,0.027431598,услуга,0.022670213,сказать,0.016813625
возврат,0.03101906,вода,0.016191809,центр,0.016553732,карта,0.018893097,товар,0.031943716,ребёнок,0.016051028,доставка,0.019687297,россия,0.02316408,гк,0.021781132,день,0.015436594
вернуть,0.022685738,наш,0.009338926,год,0.014441081,счёт,0.016027125,потребитель,0.029708799,добрый,0.009209255,день,0.01739357,нужно,0.023040388,средство,0.015825747,мочь,0.011056012
день,0.02237405,мусор,0.00915596,сервисный,0.013825141,мой,0.0154960025,статья,0.02437532,день,0.008993757,сайт,0.013291943,результат,0.021296706,рейс,0.013415387,который,0.010862026
деньга,0.018397024,адрес,0.0088364445,акт,0.013481112,оплата,0.013229238,защита,0.023665152,человек,0.008854281,деньга,0.012648992,добрый,0.02044562,билет,0.0124369385,мы,0.0094081545
продавец,0.01833363,ук,0.008364962,гарантия,0.011817146,сумма,0.012593581,рф,0.022463959,врач,0.007836521,оплатить,0.011142919,сдать,0.01997341,г,0.011758792,время,0.008406656
приобрести,0.010599882,год,0.008175356,замена,0.011269779,который,0.010177621,пункт,0.01701724,какой,0.007430771,возврат,0.010226849,сдавать,0.019962218,заключить,0.01082728,мой,0.007762853
средство,0.01031544,г,0.0077397777,срок,0.01082063,год,0.009482734,продажа,0.014855553,роспотребнадзор,0.0072057396,срок,0.009714086,коронавирус,0.017142689,денежный,0.010628378,такой,0.0076159057
купить,0.010144955,просить,0.007426532,гарантийный,0.0105588455,договор,0.008789564,российский,0.01377618,который,0.0071395827,средство,0.00806308,гражданин,0.016839989,авиакомпания,0.010576577,ситуация,0.0076141516
покупка,0.008764066,ул,0.007227327,г,0.010504248,кредит,0.008499789,федерация,0.013304282,должный,0.006929361,поддержка,0.008021391,самоизоляция,0.016775435,компания,0.010534458,сделать,0.007568241
написать,0.008315342,компания,0.0067088353,работа,0.008758972,рубль,0.0084109325,лицо,0.011940298,работа,0.006846099,обращение,0.0078059826,граница,0.015413192,ооо,0.009661559,человек,0.0071444074
это,0.008247458,жилой,0.0065284036,мастер,0.008707501,связь,0.008398232,федеральный,0.01152601,перчатка,0.0067849923,мой,0.007650578,здравствуйте,0.01406274,я,0.008859929,свой,0.0069312486
добрый,0.0082138665,помещение,0.006418199,телевизор,0.0072468007,оператор,0.008146205,отказ,0.011492793,режим,0.0067728125,оформить,0.007596922,пожалуйста,0.010925707,госуслуга,0.008261016,вопрос,0.006780674
денежный,0.007858034,управлять,0.0062463866,автомобиль,0.006065074,руб,0.0072853123,иной,0.011112277,год,0.006743788,я,0.0075632427,анализ,0.010567042,возврат,0.007563617,позвонить,0.0067646983
который,0.0067317453,который,0.006203639,сервис,0.0059886053,деньга,0.007141205,ст,0.010480958,медицинский,0.006349413,получить,0.007447539,аптека,0.010384528,год,0.0073012756,хотеть,0.0066879755
качество,0.0066589196,район,0.005946952,работать,0.0059037,средство,0.0069006737,покупатель,0.009852695,постановление,0.0062594335,сумма,0.00740948,подсказать,0.010262677,заявление,0.0070944005,говорить,0.0065094763
мочь,0.006647579,подъезд,0.0058585485,холодильник,0.0057260892,месяц,0.006699417,случай,0.009785021,область,0.006208719,служба,0.0073908144,проживать,0.010132921,оказание,0.0070917164,делать,0.006464757
чек,0.0062613725,далее,0.0056924177,обратиться,0.005519924,платёж,0.006529599,индивидуальный,0.009479989,covid,0.006141152,заказать,0.0071560703,возвращение,0.00936738,пассажир,0.0070412587,прийти,0.0062687118
сказать,0.0061261677,улица,0.005628126,устройство,0.005431791,интернет,0.00628728,продукт,0.009460881,детский,0.005833846,магазин,0.0071005076,карантин,0.009238945,связь,0.0067967405,просто,0.0060465075
здравствуйте,0.005917767,проживать,0.005593973,новый,0.0054242513,просить,0.006146994,нарушение,0.008913851,место,0.0057901572,доставить,0.0067022205,москва,0.008343513,рубль,0.006592562,работать,0.005765813
претензия,0.00589667,площадка,0.0054232553,ноутбук,0.005325658,сбербанк,0.0061465134,часть,0.0085195685,организация,0.005557412,вернуть,0.006251722,клиника,0.00805519,коап,0.0065086978,никто,0.005569934
отказать,0.0056541143,день,0.0053377873,техника,0.005309229,личный,0.005961087,средство,0.008411025,поликлиника,0.0054549654,оплата,0.0059192097,прибытие,0.007724097,москва,0.006310713,почему,0.0052169873
данный,0.005571207,окно,0.0048880796,установка,0.0048895446,дать,0.005882772,являться,0.008065309,здравствуйте,0.0052070706,компания,0.0058149495,территория,0.007419303,вылет,0.006041127,здравствуйте,0.0052091023
отказаться,0.0053131734,житель,0.004881901,проверка,0.004863423,номер,0.0058359075,непродовольственный,0.0073102154,находиться,0.0050626737,пункт,0.005704624,сделать,0.007392998,полный,0.0056545557,неделя,0.0051020025
